CountryName,CountryCode,Year,HBD
Albania,ALB,2010,2.99
American Samoa,ASM,2010,3.569684210526317
Andorra,AND,2010,3.569684210526317
Armenia,ARM,2010,3.73
Australia,AUS,2010,3.78
Austria,AUT,2010,7.65
Azerbaijan,AZE,2010,5.06
Belarus,BLR,2010,11.45
Belgium,BEL,2010,6.12
Bosnia and Herzegovina,BIH,2010,3.4
Brunei Darussalam,BRN,2010,2.46
Bulgaria,BGR,2010,6.62
Cambodia,KHM,2010,0.84
Channel Islands,CHI,2010,3.569684210526317
China,CHN,2010,2.47
Croatia,HRV,2010,5.78
Cyprus,CYP,2010,3.57
Czechia,CZE,2010,7.3
Denmark,DNK,2010,3.5
Estonia,EST,2010,5.27
Faroe Islands,FRO,2010,3.569684210526317
Fiji,FJI,2010,3.569684210526317
Finland,FIN,2010,5.85
France,FRA,2010,6.43
French Polynesia,PYF,2010,3.569684210526317
Georgia,GEO,2010,2.99
Germany,DEU,2010,8.25
Gibraltar,GIB,2010,3.569684210526317
Greece,GRC,2010,4.48
Greenland,GRL,2010,3.569684210526317
Guam,GUM,2010,3.569684210526317
"Hong Kong SAR, China",HKG,2010,3.569684210526317
Hungary,HUN,2010,7.18
Iceland,ISL,2010,3.58
Indonesia,IDN,2010,0.57
Ireland,IRL,2010,2.73
Isle of Man,IMN,2010,3.569684210526317
Italy,ITA,2010,3.64
Japan,JPN,2010,13.51
Kazakhstan,KAZ,2010,7.29
Kiribati,KIR,2010,1.4
"Korea, Dem. People's Rep.",PRK,2010,14.3
"Korea, Rep.",KOR,2010,8.74
Kosovo,XKX,2010,3.569684210526317
Kyrgyz Republic,KGZ,2010,4.76
Lao PDR,LAO,2010,0.7
Latvia,LVA,2010,5.68
Liechtenstein,LIE,2010,3.569684210526317
Lithuania,LTU,2010,7.16
Luxembourg,LUX,2010,5.37
"Macao SAR, China",MAC,2010,3.569684210526317
Malaysia,MYS,2010,1.8
Marshall Islands,MHL,2010,2.7
"Micronesia, Fed. Sts.",FSM,2010,3.569684210526317
Moldova,MDA,2010,6.18
Monaco,MCO,2010,3.569684210526317
Mongolia,MNG,2010,6.0
Montenegro,MNE,2010,3.98
Myanmar,MMR,2010,3.569684210526317
Nauru,NRU,2010,5.0
Netherlands,NLD,2010,4.05
New Caledonia,NCL,2010,3.569684210526317
New Zealand,NZL,2010,2.75
North Macedonia,MKD,2010,4.59
Northern Mariana Islands,MNP,2010,3.569684210526317
Norway,NOR,2010,4.3
Palau,PLW,2010,4.8
Papua New Guinea,PNG,2010,3.569684210526317
Philippines,PHL,2010,1.06
Poland,POL,2010,6.61
Portugal,PRT,2010,3.37
Romania,ROU,2010,6.28
Russian Federation,RUS,2010,9.41
Samoa,WSM,2010,3.569684210526317
San Marino,SMR,2010,3.569684210526317
Serbia,SRB,2010,5.4
Singapore,SGP,2010,3.569684210526317
Slovak Republic,SVK,2010,6.46
Slovenia,SVN,2010,4.57
Solomon Islands,SLB,2010,3.569684210526317
Spain,ESP,2010,3.11
Sweden,SWE,2010,2.73
Switzerland,CHE,2010,5.19
Tajikistan,TJK,2010,5.08
Thailand,THA,2010,2.1
Timor-Leste,TLS,2010,5.9
Tonga,TON,2010,2.6
Turkiye,TUR,2010,2.74
Turkmenistan,TKM,2010,4.1
Tuvalu,TUV,2010,3.569684210526317
Ukraine,UKR,2010,9.38
United Kingdom,GBR,2010,2.93
Uzbekistan,UZB,2010,4.44
Vanuatu,VUT,2010,3.569684210526317
Vietnam,VNM,2010,2.91
Albania,ALB,2011,2.88
American Samoa,ASM,2011,3.3884210526315792
Andorra,AND,2011,3.3884210526315792
Armenia,ARM,2011,3.74
Australia,AUS,2011,3.79
Austria,AUT,2011,7.68
Azerbaijan,AZE,2011,4.62
Belarus,BLR,2011,11.25
Belgium,BEL,2011,6.05
Bosnia and Herzegovina,BIH,2011,3.46
Brunei Darussalam,BRN,2011,2.46
Bulgaria,BGR,2011,6.45
Cambodia,KHM,2011,0.7
Channel Islands,CHI,2011,3.3884210526315792
China,CHN,2011,2.69
Croatia,HRV,2011,5.84
Cyprus,CYP,2011,3.51
Czechia,CZE,2011,7.06
Denmark,DNK,2011,3.13
Estonia,EST,2011,5.36
Faroe Islands,FRO,2011,3.3884210526315792
Fiji,FJI,2011,2.19
Finland,FIN,2011,5.52
France,FRA,2011,6.36
French Polynesia,PYF,2011,3.3884210526315792
Georgia,GEO,2011,2.81
Germany,DEU,2011,8.38
Gibraltar,GIB,2011,3.3884210526315792
Greece,GRC,2011,4.47
Greenland,GRL,2011,3.3884210526315792
Guam,GUM,2011,3.3884210526315792
"Hong Kong SAR, China",HKG,2011,3.3884210526315792
Hungary,HUN,2011,7.19
Iceland,ISL,2011,3.29
Indonesia,IDN,2011,0.62
Ireland,IRL,2011,2.62
Isle of Man,IMN,2011,3.3884210526315792
Italy,ITA,2011,3.52
Japan,JPN,2011,13.4
Kazakhstan,KAZ,2011,7.11
Kiribati,KIR,2011,1.3
"Korea, Dem. People's Rep.",PRK,2011,3.3884210526315792
"Korea, Rep.",KOR,2011,9.53
Kosovo,XKX,2011,3.3884210526315792
Kyrgyz Republic,KGZ,2011,4.7
Lao PDR,LAO,2011,3.3884210526315792
Latvia,LVA,2011,5.88
Liechtenstein,LIE,2011,3.3884210526315792
Lithuania,LTU,2011,7.43
Luxembourg,LUX,2011,5.28
"Macao SAR, China",MAC,2011,3.3884210526315792
Malaysia,MYS,2011,1.79
Marshall Islands,MHL,2011,3.3884210526315792
"Micronesia, Fed. Sts.",FSM,2011,3.3884210526315792
Moldova,MDA,2011,6.19
Monaco,MCO,2011,16.46
Mongolia,MNG,2011,6.75
Montenegro,MNE,2011,3.98
Myanmar,MMR,2011,3.3884210526315792
Nauru,NRU,2011,3.3884210526315792
Netherlands,NLD,2011,3.84
New Caledonia,NCL,2011,3.3884210526315792
New Zealand,NZL,2011,2.82
North Macedonia,MKD,2011,4.51
Northern Mariana Islands,MNP,2011,3.3884210526315792
Norway,NOR,2011,4.19
Palau,PLW,2011,3.3884210526315792
Papua New Guinea,PNG,2011,3.3884210526315792
Philippines,PHL,2011,1.07
Poland,POL,2011,6.63
Portugal,PRT,2011,3.37
Romania,ROU,2011,6.31
Russian Federation,RUS,2011,9.42
Samoa,WSM,2011,3.3884210526315792
San Marino,SMR,2011,3.85
Serbia,SRB,2011,5.43
Singapore,SGP,2011,2.0
Slovak Republic,SVK,2011,6.05
Slovenia,SVN,2011,4.62
Solomon Islands,SLB,2011,1.66
Spain,ESP,2011,3.05
Sweden,SWE,2011,2.7
Switzerland,CHE,2011,5.05
Tajikistan,TJK,2011,4.95
Thailand,THA,2011,3.3884210526315792
Timor-Leste,TLS,2011,3.3884210526315792
Tonga,TON,2011,3.3884210526315792
Turkiye,TUR,2011,2.62
Turkmenistan,TKM,2011,4.07
Tuvalu,TUV,2011,3.3884210526315792
Ukraine,UKR,2011,9.05
United Kingdom,GBR,2011,2.88
Uzbekistan,UZB,2011,4.32
Vanuatu,VUT,2011,3.3884210526315792
Vietnam,VNM,2011,3.3884210526315792
Albania,ALB,2012,2.88
American Samoa,ASM,2012,3.4463157894736858
Andorra,AND,2012,3.4463157894736858
Armenia,ARM,2012,4.05
Australia,AUS,2012,3.75
Austria,AUT,2012,7.67
Azerbaijan,AZE,2012,4.65
Belarus,BLR,2012,11.27
Belgium,BEL,2012,5.99
Bosnia and Herzegovina,BIH,2012,3.5
Brunei Darussalam,BRN,2012,2.44
Bulgaria,BGR,2012,6.61
Cambodia,KHM,2012,3.4463157894736858
Channel Islands,CHI,2012,3.4463157894736858
China,CHN,2012,3.01
Croatia,HRV,2012,5.89
Cyprus,CYP,2012,3.46
Czechia,CZE,2012,6.93
Denmark,DNK,2012,3.4463157894736858
Estonia,EST,2012,5.53
Faroe Islands,FRO,2012,3.4463157894736858
Fiji,FJI,2012,3.4463157894736858
Finland,FIN,2012,5.3
France,FRA,2012,6.34
French Polynesia,PYF,2012,3.4463157894736858
Georgia,GEO,2012,2.53
Germany,DEU,2012,8.34
Gibraltar,GIB,2012,3.4463157894736858
Greece,GRC,2012,4.45
Greenland,GRL,2012,3.4463157894736858
Guam,GUM,2012,3.4463157894736858
"Hong Kong SAR, China",HKG,2012,3.4463157894736858
Hungary,HUN,2012,7.0
Iceland,ISL,2012,3.25
Indonesia,IDN,2012,0.83
Ireland,IRL,2012,2.54
Isle of Man,IMN,2012,3.4463157894736858
Italy,ITA,2012,3.42
Japan,JPN,2012,13.35
Kazakhstan,KAZ,2012,7.01
Kiribati,KIR,2012,3.4463157894736858
"Korea, Dem. People's Rep.",PRK,2012,13.2
"Korea, Rep.",KOR,2012,10.25
Kosovo,XKX,2012,3.4463157894736858
Kyrgyz Republic,KGZ,2012,4.64
Lao PDR,LAO,2012,1.5
Latvia,LVA,2012,5.89
Liechtenstein,LIE,2012,3.4463157894736858
Lithuania,LTU,2012,7.45
Luxembourg,LUX,2012,5.15
"Macao SAR, China",MAC,2012,3.4463157894736858
Malaysia,MYS,2012,1.9
Marshall Islands,MHL,2012,3.4463157894736858
"Micronesia, Fed. Sts.",FSM,2012,3.4463157894736858
Moldova,MDA,2012,6.23
Monaco,MCO,2012,13.8
Mongolia,MNG,2012,7.0
Montenegro,MNE,2012,3.97
Myanmar,MMR,2012,0.9
Nauru,NRU,2012,3.4463157894736858
Netherlands,NLD,2012,3.75
New Caledonia,NCL,2012,3.4463157894736858
New Zealand,NZL,2012,2.83
North Macedonia,MKD,2012,4.4
Northern Mariana Islands,MNP,2012,3.4463157894736858
Norway,NOR,2012,3.97
Palau,PLW,2012,3.4463157894736858
Papua New Guinea,PNG,2012,3.4463157894736858
Philippines,PHL,2012,1.05
Poland,POL,2012,6.63
Portugal,PRT,2012,3.41
Romania,ROU,2012,6.6
Russian Federation,RUS,2012,9.3
Samoa,WSM,2012,3.4463157894736858
San Marino,SMR,2012,3.8
Serbia,SRB,2012,5.44
Singapore,SGP,2012,3.4463157894736858
Slovak Republic,SVK,2012,5.91
Slovenia,SVN,2012,4.54
Solomon Islands,SLB,2012,1.4
Spain,ESP,2012,2.99
Sweden,SWE,2012,2.66
Switzerland,CHE,2012,4.97
Tajikistan,TJK,2012,4.83
Thailand,THA,2012,3.4463157894736858
Timor-Leste,TLS,2012,3.4463157894736858
Tonga,TON,2012,3.4463157894736858
Turkiye,TUR,2012,2.66
Turkmenistan,TKM,2012,3.98
Tuvalu,TUV,2012,3.4463157894736858
Ukraine,UKR,2012,8.91
United Kingdom,GBR,2012,2.81
Uzbekistan,UZB,2012,4.19
Vanuatu,VUT,2012,3.4463157894736858
Vietnam,VNM,2012,2.5
Albania,ALB,2013,2.89
American Samoa,ASM,2013,3.049894736842105
Andorra,AND,2013,3.049894736842105
Armenia,ARM,2013,4.06
Australia,AUS,2013,3.74
Austria,AUT,2013,7.64
Azerbaijan,AZE,2013,4.69
Belarus,BLR,2013,11.05
Belgium,BEL,2013,5.93
Bosnia and Herzegovina,BIH,2013,3.5
Brunei Darussalam,BRN,2013,2.42
Bulgaria,BGR,2013,6.82
Cambodia,KHM,2013,0.7
Channel Islands,CHI,2013,3.049894736842105
China,CHN,2013,3.29
Croatia,HRV,2013,5.86
Cyprus,CYP,2013,3.41
Czechia,CZE,2013,6.7
Denmark,DNK,2013,3.07
Estonia,EST,2013,5.01
Faroe Islands,FRO,2013,3.049894736842105
Fiji,FJI,2013,2.19
Finland,FIN,2013,4.87
France,FRA,2013,6.28
French Polynesia,PYF,2013,3.049894736842105
Georgia,GEO,2013,2.59
Germany,DEU,2013,8.28
Gibraltar,GIB,2013,3.049894736842105
Greece,GRC,2013,4.24
Greenland,GRL,2013,3.049894736842105
Guam,GUM,2013,3.049894736842105
"Hong Kong SAR, China",HKG,2013,3.049894736842105
Hungary,HUN,2013,7.04
Iceland,ISL,2013,3.22
Indonesia,IDN,2013,0.99
Ireland,IRL,2013,2.56
Isle of Man,IMN,2013,3.049894736842105
Italy,ITA,2013,3.31
Japan,JPN,2013,13.3
Kazakhstan,KAZ,2013,6.72
Kiribati,KIR,2013,3.049894736842105
"Korea, Dem. People's Rep.",PRK,2013,3.049894736842105
"Korea, Rep.",KOR,2013,10.92
Kosovo,XKX,2013,3.049894736842105
Kyrgyz Republic,KGZ,2013,4.51
Lao PDR,LAO,2013,3.049894736842105
Latvia,LVA,2013,5.8
Liechtenstein,LIE,2013,3.049894736842105
Lithuania,LTU,2013,7.31
Luxembourg,LUX,2013,5.17
"Macao SAR, China",MAC,2013,3.049894736842105
Malaysia,MYS,2013,3.049894736842105
Marshall Islands,MHL,2013,3.049894736842105
"Micronesia, Fed. Sts.",FSM,2013,3.049894736842105
Moldova,MDA,2013,5.83
Monaco,MCO,2013,3.049894736842105
Mongolia,MNG,2013,3.049894736842105
Montenegro,MNE,2013,3.89
Myanmar,MMR,2013,3.049894736842105
Nauru,NRU,2013,3.049894736842105
Netherlands,NLD,2013,3.61
New Caledonia,NCL,2013,3.049894736842105
New Zealand,NZL,2013,2.78
North Macedonia,MKD,2013,4.45
Northern Mariana Islands,MNP,2013,3.049894736842105
Norway,NOR,2013,3.86
Palau,PLW,2013,3.049894736842105
Papua New Guinea,PNG,2013,3.049894736842105
Philippines,PHL,2013,0.99
Poland,POL,2013,6.61
Portugal,PRT,2013,3.39
Romania,ROU,2013,6.67
Russian Federation,RUS,2013,9.07
Samoa,WSM,2013,3.049894736842105
San Marino,SMR,2013,3.049894736842105
Serbia,SRB,2013,5.5
Singapore,SGP,2013,2.19
Slovak Republic,SVK,2013,5.8
Slovenia,SVN,2013,4.55
Solomon Islands,SLB,2013,3.049894736842105
Spain,ESP,2013,2.96
Sweden,SWE,2013,2.59
Switzerland,CHE,2013,4.85
Tajikistan,TJK,2013,4.76
Thailand,THA,2013,3.049894736842105
Timor-Leste,TLS,2013,3.049894736842105
Tonga,TON,2013,3.049894736842105
Turkiye,TUR,2013,2.65
Turkmenistan,TKM,2013,3.93
Tuvalu,TUV,2013,3.049894736842105
Ukraine,UKR,2013,8.8
United Kingdom,GBR,2013,2.76
Uzbekistan,UZB,2013,3.99
Vanuatu,VUT,2013,3.049894736842105
Vietnam,VNM,2013,3.18
Albania,ALB,2014,2.935894736842105
American Samoa,ASM,2014,2.935894736842105
Andorra,AND,2014,2.935894736842105
Armenia,ARM,2014,4.16
Australia,AUS,2014,3.79
Austria,AUT,2014,7.58
Azerbaijan,AZE,2014,4.82
Belarus,BLR,2014,10.83
Belgium,BEL,2014,5.85
Bosnia and Herzegovina,BIH,2014,3.49
Brunei Darussalam,BRN,2014,2.43
Bulgaria,BGR,2014,7.13
Cambodia,KHM,2014,2.935894736842105
Channel Islands,CHI,2014,2.935894736842105
China,CHN,2014,3.55
Croatia,HRV,2014,5.91
Cyprus,CYP,2014,3.42
Czechia,CZE,2014,6.68
Denmark,DNK,2014,2.69
Estonia,EST,2014,5.01
Faroe Islands,FRO,2014,2.935894736842105
Fiji,FJI,2014,1.85
Finland,FIN,2014,4.53
France,FRA,2014,6.2
French Polynesia,PYF,2014,2.935894736842105
Georgia,GEO,2014,2.89
Germany,DEU,2014,8.23
Gibraltar,GIB,2014,2.935894736842105
Greece,GRC,2014,4.24
Greenland,GRL,2014,2.935894736842105
Guam,GUM,2014,2.935894736842105
"Hong Kong SAR, China",HKG,2014,2.935894736842105
Hungary,HUN,2014,6.98
Iceland,ISL,2014,3.16
Indonesia,IDN,2014,0.94
Ireland,IRL,2014,2.57
Isle of Man,IMN,2014,2.935894736842105
Italy,ITA,2014,3.21
Japan,JPN,2014,13.21
Kazakhstan,KAZ,2014,6.06
Kiribati,KIR,2014,2.935894736842105
"Korea, Dem. People's Rep.",PRK,2014,2.935894736842105
"Korea, Rep.",KOR,2014,11.59
Kosovo,XKX,2014,2.935894736842105
Kyrgyz Republic,KGZ,2014,4.41
Lao PDR,LAO,2014,2.935894736842105
Latvia,LVA,2014,5.66
Liechtenstein,LIE,2014,2.935894736842105
Lithuania,LTU,2014,7.26
Luxembourg,LUX,2014,5.05
"Macao SAR, China",MAC,2014,2.935894736842105
Malaysia,MYS,2014,2.935894736842105
Marshall Islands,MHL,2014,2.935894736842105
"Micronesia, Fed. Sts.",FSM,2014,2.935894736842105
Moldova,MDA,2014,5.66
Monaco,MCO,2014,2.935894736842105
Mongolia,MNG,2014,2.935894736842105
Montenegro,MNE,2014,3.93
Myanmar,MMR,2014,2.935894736842105
Nauru,NRU,2014,2.935894736842105
Netherlands,NLD,2014,2.935894736842105
New Caledonia,NCL,2014,2.935894736842105
New Zealand,NZL,2014,2.76
North Macedonia,MKD,2014,4.4
Northern Mariana Islands,MNP,2014,2.935894736842105
Norway,NOR,2014,3.84
Palau,PLW,2014,2.935894736842105
Papua New Guinea,PNG,2014,2.935894736842105
Philippines,PHL,2014,0.99
Poland,POL,2014,6.63
Portugal,PRT,2014,3.32
Romania,ROU,2014,6.71
Russian Federation,RUS,2014,8.81
Samoa,WSM,2014,2.935894736842105
San Marino,SMR,2014,2.935894736842105
Serbia,SRB,2014,5.52
Singapore,SGP,2014,2.24
Slovak Republic,SVK,2014,5.79
Slovenia,SVN,2014,4.54
Solomon Islands,SLB,2014,2.935894736842105
Spain,ESP,2014,2.97
Sweden,SWE,2014,2.54
Switzerland,CHE,2014,4.73
Tajikistan,TJK,2014,4.67
Thailand,THA,2014,2.935894736842105
Timor-Leste,TLS,2014,2.935894736842105
Tonga,TON,2014,2.935894736842105
Turkiye,TUR,2014,2.68
Turkmenistan,TKM,2014,4.03
Tuvalu,TUV,2014,2.935894736842105
Ukraine,UKR,2014,7.46
United Kingdom,GBR,2014,2.73
Uzbekistan,UZB,2014,3.98
Vanuatu,VUT,2014,2.935894736842105
Vietnam,VNM,2014,2.6
Albania,ALB,2015,2.434842105263158
American Samoa,ASM,2015,2.434842105263158
Andorra,AND,2015,2.434842105263158
Armenia,ARM,2015,4.2
Australia,AUS,2015,3.82
Austria,AUT,2015,7.54
Azerbaijan,AZE,2015,2.434842105263158
Belarus,BLR,2015,2.434842105263158
Belgium,BEL,2015,5.83
Bosnia and Herzegovina,BIH,2015,2.434842105263158
Brunei Darussalam,BRN,2015,2.77
Bulgaria,BGR,2015,7.24
Cambodia,KHM,2015,0.8
Channel Islands,CHI,2015,2.434842105263158
China,CHN,2015,3.79
Croatia,HRV,2015,5.56
Cyprus,CYP,2015,3.42
Czechia,CZE,2015,6.67
Denmark,DNK,2015,2.53
Estonia,EST,2015,4.96
Faroe Islands,FRO,2015,2.434842105263158
Fiji,FJI,2015,1.87
Finland,FIN,2015,4.35
France,FRA,2015,6.13
French Polynesia,PYF,2015,2.434842105263158
Georgia,GEO,2015,2.434842105263158
Germany,DEU,2015,8.13
Gibraltar,GIB,2015,2.434842105263158
Greece,GRC,2015,4.25
Greenland,GRL,2015,2.434842105263158
Guam,GUM,2015,2.434842105263158
"Hong Kong SAR, China",HKG,2015,2.434842105263158
Hungary,HUN,2015,6.99
Iceland,ISL,2015,3.12
Indonesia,IDN,2015,0.98
Ireland,IRL,2015,2.92
Isle of Man,IMN,2015,2.434842105263158
Italy,ITA,2015,3.2
Japan,JPN,2015,13.17
Kazakhstan,KAZ,2015,2.434842105263158
Kiribati,KIR,2015,1.9
"Korea, Dem. People's Rep.",PRK,2015,2.434842105263158
"Korea, Rep.",KOR,2015,11.61
Kosovo,XKX,2015,2.434842105263158
Kyrgyz Republic,KGZ,2015,2.434842105263158
Lao PDR,LAO,2015,2.434842105263158
Latvia,LVA,2015,5.69
Liechtenstein,LIE,2015,2.434842105263158
Lithuania,LTU,2015,6.97
Luxembourg,LUX,2015,4.93
"Macao SAR, China",MAC,2015,2.434842105263158
Malaysia,MYS,2015,1.86
Marshall Islands,MHL,2015,2.434842105263158
"Micronesia, Fed. Sts.",FSM,2015,2.434842105263158
Moldova,MDA,2015,2.434842105263158
Monaco,MCO,2015,2.434842105263158
Mongolia,MNG,2015,7.0
Montenegro,MNE,2015,3.93
Myanmar,MMR,2015,2.434842105263158
Nauru,NRU,2015,2.434842105263158
Netherlands,NLD,2015,3.49
New Caledonia,NCL,2015,2.434842105263158
New Zealand,NZL,2015,2.72
North Macedonia,MKD,2015,4.39
Northern Mariana Islands,MNP,2015,2.434842105263158
Norway,NOR,2015,3.76
Palau,PLW,2015,2.434842105263158
Papua New Guinea,PNG,2015,2.434842105263158
Philippines,PHL,2015,2.434842105263158
Poland,POL,2015,6.63
Portugal,PRT,2015,3.37
Romania,ROU,2015,6.79
Russian Federation,RUS,2015,8.35
Samoa,WSM,2015,2.434842105263158
San Marino,SMR,2015,2.434842105263158
Serbia,SRB,2015,5.58
Singapore,SGP,2015,2.4
Slovak Republic,SVK,2015,5.75
Slovenia,SVN,2015,4.51
Solomon Islands,SLB,2015,2.434842105263158
Spain,ESP,2015,2.98
Sweden,SWE,2015,2.44
Switzerland,CHE,2015,4.73
Tajikistan,TJK,2015,2.434842105263158
Thailand,THA,2015,2.434842105263158
Timor-Leste,TLS,2015,2.434842105263158
Tonga,TON,2015,2.434842105263158
Turkiye,TUR,2015,2.68
Turkmenistan,TKM,2015,2.434842105263158
Tuvalu,TUV,2015,2.434842105263158
Ukraine,UKR,2015,2.434842105263158
United Kingdom,GBR,2015,2.61
Uzbekistan,UZB,2015,2.434842105263158
Vanuatu,VUT,2015,2.434842105263158
Vietnam,VNM,2015,2.434842105263158
Albania,ALB,2016,2.3905263157894736
American Samoa,ASM,2016,2.3905263157894736
Andorra,AND,2016,2.3905263157894736
Armenia,ARM,2016,2.3905263157894736
Australia,AUS,2016,3.84
Austria,AUT,2016,7.42
Azerbaijan,AZE,2016,2.3905263157894736
