countries,alpha-2,alpha-3,region,sub-region,latitude,longitude,gdp_2010,gdp_2011,gdp_2012,gdp_2013,gdp_2014,gdp_2015,gdp_2016,gdp_2017,gdp_2018,gdp_2019,gdp_2020,gdp_2021,hbd_2010,hbd_2011,hbd_2012,hbd_2013,hbd_2014,hbd_2015,hbd_2016,hbd_2017,hbd_2018,hbd_2019,hbd_2020,hbd_2021,ate_2010,ate_2011,ate_2012,ate_2013,ate_2014,ate_2015,ate_2016,ate_2017,ate_2018,ate_2019,ate_2020,ate_2021
Lithuania,LT,LTU,Europe,Northern Europe,55.169438,23.881275,37128694028.243,43535051482.3869,42927454291.478,46523420074.4372,48533659592.1728,41435533340.3883,43047309305.7363,47758736931.7801,53750911865.687,54697379017.3332,56546957475.4912,65503849704.5997,7.16,7.43,7.45,7.31,7.26,6.97,6.69,6.56,6.43,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Luxembourg,LU,LUX,Europe,Western Europe,49.815273,6.129583,56213985987.4168,61696281326.2453,59776383527.3602,65203276466.9763,68804811897.6445,60071584216.1375,62216885435.9488,65712180342.9836,71285019397.4133,70195715495.5136,73353132793.7076,86710803337.0994,5.37,5.28,5.15,5.17,5.05,4.93,4.81,4.66,4.51,4.26,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
"Macao SAR, China",MO,MAC,Asia,Eastern Asia,22.198745,113.543873,28241858488.9155,36845925519.4433,43189526777.5567,51536304807.6803,54903031137.7096,45047964934.2517,45070605746.0194,50440941938.6992,55284360483.1217,55204758069.5124,25586111076.3415,29905190181.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Malaysia,MY,MYS,Asia,South-eastern Asia,4.210484,101.975766,255016609232.871,297951960784.314,314443149443.149,323277158906.979,338061963396.376,301354803994.367,301255380276.258,319112136545.438,358791513221.482,365276379480.99,337006023789.699,372701358820.264,1.8,1.79,1.9,0.0,0.0,1.86,1.62,1.88,0.0,0.0,0.0,0.0,99.3740539550781,99.4654693603516,99.8000030517578,99.6044464111328,99.6509399414063,99.7788162231445,99.9000015258789,99.9524841308594,99.9922409057617,100.0,100.0,0.0
Marshall Islands,MH,MHL,Oceania,Micronesia,7.131474,171.184478,160407100.0,172188500.0,180436300.0,184840400.0,182142800.0,183814300.0,201510900.0,213204100.0,221588900.0,239462200.0,244462400.0,248665600.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.23388671875,89.9196090698242,90.5608062744141,91.1968536376953,91.8208770751953,92.5262756347656,93.3688278198242,94.2973480224609,95.9162902832031,97.538200378418,99.1606063842773,0.0
"Micronesia, Fed. Sts.",FM,FSM,Oceania,Micronesia,7.425554,150.550812,296944100.0,311301600.0,327248700.0,317214400.0,319271200.0,316489900.0,332265200.0,366666800.0,401932300.0,412479413.362129,407515927.98229,404178049.753978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5315170288086,66.5939865112305,68.4323654174805,70.2488174438477,72.0532455444336,73.9390563964844,75.9620132446289,77.9439086914063,79.7029113769531,81.2767333984375,82.9259185791016,0.0
Moldova,MD,MDA,Europe,Eastern Europe,47.411631,28.369885,6974982392.67155,8414351671.95869,8709138764.75916,9496717702.44839,9510198961.57287,7745241912.94722,8071469355.2527,9669741744.22001,11457443185.0542,11971345002.7757,11859730543.5525,13679221333.2052,6.18,6.19,6.23,5.83,5.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9800033569336,99.9899978637695,100.0,100.0,0.0
Monaco,MC,MCO,Europe,Western Europe,43.750298,7.412841,5367625613.15127,6088808463.25167,5743029680.07195,6555983530.34932,7069616048.89066,6261622101.40908,6472990923.1791,6431314957.07185,7194024563.06094,7383745662.15157,6816219303.25528,0.0,0.0,16.46,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Mongolia,MN,MNG,Asia,Eastern Asia,46.862496,103.846656,7189481824.07288,10409797649.3063,12292770631.1967,12582122604.1921,12226514722.0861,11619892396.0767,11181350461.4723,11480847745.3187,13178094459.4548,14206359006.8095,13312981594.573,15098022828.6106,6.0,6.75,7.0,0.0,0.0,7.0,7.0,8.0,0.0,0.0,0.0,0.0,78.502082824707,72.0570755004883,84.4836120605469,81.1999969482422,87.0788269042969,88.4001770019531,89.8384094238281,92.512565612793,98.0999984741211,97.2299118041992,98.0999984741211,0.0
Montenegro,ME,MNE,Europe,Southern Europe,42.708678,19.37439,4143033275.88493,4544516982.18263,4087725812.66864,4465771672.62005,4593852089.0956,4054728172.94375,4376929571.63126,4856602178.63417,5506944403.30186,5542201150.91048,4780722121.96227,5809170961.78285,3.98,3.98,3.97,3.89,3.93,3.93,3.93,3.86,0.0,0.0,0.0,0.0,100.0,99.0,100.0,99.6999969482422,97.6999969482422,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Myanmar,MM,MMR,Asia,South-eastern Asia,21.913965,95.956223,37796052938.7278,54118601974.7947,58318677644.9492,60572257122.2962,63264892768.3726,63045305229.1046,60291736893.9397,61449392056.1488,67144725830.5753,68697759361.231,78930257227.0908,65067808984.6792,0.0,0.0,0.9,0.0,0.0,0.0,1.04,1.04,0.0,0.0,0.0,0.0,48.7999992370605,54.0064277648926,55.1679344177246,56.3492736816406,52.0,60.5,55.5999984741211,69.8148345947266,66.2272796630859,68.358528137207,70.3971939086914,0.0
Nauru,NR,NRU,Oceania,Micronesia,-0.522778,166.931503,47564520.3910861,66055407.6703145,96927201.4848422,98491843.6441982,104654365.188653,86529661.3694983,99723394.9628767,109359680.217211,124021393.690412,118724073.809183,114626625.553023,133218896.932607,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.1706314086914,99.0,99.2164459228516,99.2682113647461,99.3377914428711,99.0,99.7128829956055,99.8700408935547,99.92822265625,100.0,100.0,0.0
Netherlands,NL,NLD,Europe,Western Europe,52.132633,5.291266,847380859016.668,905270626332.687,838923319919.531,877172824534.512,892167986713.722,765572770634.375,784060430240.08,833869641687.06,914043438179.607,910194347568.626,913865395789.886,1018007056949.6,4.05,3.84,3.75,3.61,0.0,3.49,3.41,3.28,3.17,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
New Caledonia,NC,NCL,Oceania,Melanesia,-20.904305,165.618042,9364347372.04626,10351442208.992,9659153061.35633,10151385305.7645,10635039738.6899,8738205836.7394,8724570249.74306,9173668102.13844,9846922416.14776,9438130987.37298,9435529927.2471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
New Zealand,NZ,NZL,Oceania,Australia and New Zealand,-40.900557,174.885971,146517541181.254,168291357111.739,176206659722.524,190906575136.003,201313497220.917,178064471137.921,188838342527.975,206623758800.159,211953111035.513,213434571357.984,211734532308.013,249991512236.526,2.75,2.82,2.83,2.78,2.76,2.72,2.74,2.73,2.62,2.57,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
North Macedonia,MK,MKD,Europe,Southern Europe,41.608635,21.745275,9407168702.4313,10494632699.3859,9745251126.0109,10817712138.9451,11362272837.8818,10064515432.0265,10672471860.7184,11307058382.3435,12683070061.4695,12606338448.547,12116981815.2261,13879269151.5718,4.59,4.51,4.4,4.45,4.4,4.39,4.37,4.28,0.0,0.0,0.0,0.0,100.0,99.7261657714844,100.0,100.0,100.0,100.0,100.0,100.0,99.8000030517578,100.0,100.0,0.0
Northern Mariana Islands,MP,MNP,Oceania,Micronesia,17.33083,145.38469,799000000.0,729000000.0,746000000.0,772000000.0,832000000.0,910000000.0,1230000000.0,1560000000.0,1302000000.0,1182000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Norway,NO,NOR,Europe,Northern Europe,60.472024,8.468946,428757038466.841,498283438454.281,509506317146.541,522761531914.894,498410050251.256,385801550067.169,368827142857.143,398393955268.99,436999692591.454,404941363636.364,362198318435.26,482437019790.454,4.3,4.19,3.97,3.86,3.84,3.76,3.68,3.6,3.53,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Palau,PW,PLW,Oceania,Micronesia,7.51498,134.58252,185943000.0,196911100.0,212397800.0,221117200.0,241669800.0,280457700.0,298300000.0,285300000.0,284700000.0,274200000.0,257700000.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.7126159667969,98.807502746582,97.6304244995117,99.0532302856445,99.810302734375,99.3692398071289,100.0,100.0,100.0,100.0,100.0,0.0
Papua New Guinea,PG,PNG,Oceania,Melanesia,-6.314993,143.95555,14250755231.1257,17984910501.8979,21295659243.6168,21261432791.2675,23210682538.3928,21723531173.2409,20759069103.0961,22742613553.6879,24109509852.7402,24751344560.8856,24667052023.1214,26594277245.782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,32.9173202514648,35.2758865356445,37.6542854309082,40.0504913330078,42.8782196044922,49.4000015258789,54.4000015258789,55.7273864746094,59.6629753112793,60.4000015258789,0.0
Philippines,PH,PHL,Asia,South-eastern Asia,12.879721,121.774017,208368726861.407,234216930369.796,261920509950.555,283902728260.716,297483247101.038,306446140628.709,318626761492.867,328480867142.69,346842094175.24,376823278561.196,361751116292.541,394086419343.056,1.06,1.07,1.05,0.99,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.3976440429688,87.1999969482422,87.0800018310547,87.5,89.7203674316406,89.0800018310547,92.0665054321289,93.0,94.4482650756836,95.6450805664063,96.8423843383789,0.0
Poland,PL,POL,Europe,Eastern Europe,51.919438,19.145136,479834179020.33,528301269069.799,498523568248.119,521016262734.924,542477096211.761,477811911394.084,472630364208.177,526508877305.321,587411745161.558,597280564671.563,596624355719.671,674048266397.369,6.61,6.63,6.63,6.61,6.63,6.63,6.64,6.62,6.54,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Portugal,PT,PRT,Europe,Southern Europe,39.399872,-8.224454,238113003233.284,245117990242.248,216224240577.957,226433858005.714,229901964221.884,199394066525.44,206426152308.931,221357874718.93,242313116577.967,239986922638.902,228539245045.341,249886464354.752,3.37,3.37,3.41,3.39,3.32,3.37,3.39,3.39,3.45,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Romania,RO,ROU,Europe,Eastern Europe,45.943161,24.96676,166309355234.589,183326740143.016,170635805316.879,190801346194.297,199959363430.073,177729210874.504,188128818486.401,211695422578.655,241457403085.042,249881592298.072,249511333647.502,284087563695.798,6.28,6.31,6.6,6.67,6.71,6.79,6.84,6.89,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0999984741211,100.0,100.0,100.0,100.0,0.0
Russian Federation,RU,RUS,Europe,Eastern Europe,61.52401,105.318756,1524917468442.01,2045925608274.37,2208295773643.15,2292473246621.08,2059241965490.83,1363481063446.77,1276786979221.81,1574199387070.9,1657329646183.62,1693113904262.89,1488321875489.74,1775799919352.98,9.41,9.42,9.3,9.07,8.81,8.35,8.16,8.05,7.12,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,95.5,100.0,100.0,100.0,100.0,100.0,0.0
Samoa,WS,WSM,Oceania,Polynesia,-13.759029,-172.104629,663161528.405016,737401684.079882,760549577.698957,770059564.970021,756805950.228193,788307314.850856,799493897.539886,832025556.081401,821286938.902743,852007104.660046,807147527.615094,788389971.603065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.3610534667969,96.668571472168,96.8269348144531,97.4165344238281,97.9000015258789,99.0670852661133,99.623291015625,96.8000030517578,99.9944763183594,99.1999969482422,100.0,0.0
San Marino,SM,SMR,Europe,Southern Europe,43.94236,12.457777,1881214370.93994,1813752783.96437,1604779647.95066,1678841811.66158,1673973694.69908,1419394763.11994,1468377241.53199,1528630704.92544,1655300897.49646,1616231696.0486,1544713784.67671,0.0,0.0,3.85,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Serbia,RS,SRB,Europe,Southern Europe,44.016521,21.005859,41819468691.8251,49258136128.9672,43309252921.0567,48394239474.6762,47062206677.6539,39655958842.5478,40692643373.0327,44179055279.8887,50640650221.4622,51514222381.8428,53335016425.4148,63068134601.1254,5.4,5.43,5.44,5.5,5.52,5.58,5.59,5.61,0.0,0.0,0.0,0.0,99.7183990478516,100.0,100.0,99.9199981689453,99.6607971191406,99.9000015258789,100.0,100.0,100.0,99.8000030517578,100.0,0.0
Singapore,SG,SGP,Asia,South-eastern Asia,1.352083,103.819836,239809387605.427,279351168707.267,295087220933.024,307576360584.992,314851156183.411,308004146057.608,318832428519.725,343193352161.634,376998146500.593,375472731271.075,345295933898.674,396986899888.351,0.0,2.0,0.0,2.19,2.24,2.4,2.48,2.49,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Slovak Republic,SK,SVK,Europe,Eastern Europe,48.669026,19.699024,90801178162.2502,99492917848.5897,94253181330.3891,98569320342.5842,101089178418.029,88636928904.6449,89674927723.2422,95393515077.7472,105612792516.582,105284375640.698,105172564491.569,114870706410.165,6.46,6.05,5.91,5.8,5.79,5.75,5.78,5.82,5.7,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Slovenia,SI,SVN,Europe,Southern Europe,46.151241,14.995463,48208240226.4501,51583869785.1849,46577793184.0031,48415657264.8758,49997186439.0916,43107506024.3254,44766722790.5826,48589100043.0954,54163591695.32,54178877605.9999,53589609580.7099,61526331889.499,4.57,4.62,4.54,4.55,4.54,4.51,4.49,4.5,4.43,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Solomon Islands,SB,SLB,Oceania,Melanesia,-9.64571,160.156194,846767635.935272,1049889691.54463,1191045573.19991,1284763287.27352,1335584911.8002,1307082934.28683,1378543909.3128,1483793468.06299,1574622018.23326,1570093229.25588,1545888426.23031,1645213881.62016,0.0,1.66,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7748069763184,38.6799926757813,42.5742111206055,44.7000007629395,50.3067588806152,55.0999984741211,58.3271942138672,62.9000015258789,66.1797637939453,69.8094177246094,73.3464813232422,0.0
Spain,ES,ESP,Europe,Southern Europe,40.463667,-3.74922,1422108199783.34,1480710495710.12,1324744314781.64,1355142585077.65,1371222712535.68,1195599995808.59,1232912963206.23,1312539279462.36,1420994142512.16,1393046093137.25,1281484640043.58,1425276586282.92,3.11,3.05,2.99,2.96,2.97,2.98,2.97,2.97,2.97,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Sweden,SE,SWE,Europe,Northern Europe,60.128161,18.643501,495812558843.31,574094112972.733,552483727282.802,586841821796.891,581964017237.095,505103781349.757,515654671469.547,541018749769.097,555455371487.089,533879529188.454,541487151474.557,627437898887.29,2.73,2.7,2.66,2.59,2.54,2.44,2.34,2.21,2.14,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Switzerland,CH,CHE,Europe,Western Europe,46.818188,8.227512,603434493402.679,722038242134.62,692109693986.886,712748124222.61,734396591036.932,702149580770.901,695600652899.283,704478516963.855,735539301552.674,731767398052.879,752248045730.11,812866928867.47,5.19,5.05,4.97,4.85,4.73,4.73,4.69,4.65,4.63,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Tajikistan,TJ,TJK,Asia,Central Asia,38.861034,71.276093,5642178579.58438,6522732202.50748,7633049792.09321,8448469837.53831,9112544556.05962,8271454300.59548,6992393787.40891,7536439875.08334,7765014424.33779,8300784856.87904,8133996647.90397,8746270636.40142,5.08,4.95,4.83,4.76,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.671501159668,98.7168579101563,99.0999984741211,98.8635482788086,98.9646224975586,98.0,99.2083129882813,99.3000030517578,99.3000030517578,99.6332092285156,99.779296875,0.0
Thailand,TH,THA,Asia,South-eastern Asia,15.870032,100.992541,341104820155.464,370819140946.553,397558222957.17,420333203150.426,407339454060.678,401296437424.995,413366150655.591,456356961443.497,506754616189.315,544081056184.697,499681757030.968,505981655622.305,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.6999969482422,99.3518371582031,99.1086273193359,99.4405746459961,99.4619445800781,99.5999984741211,99.8499603271484,99.9000015258789,99.8199996948242,99.9000015258789,100.0,0.0
Timor-Leste,TL,TLS,Asia,South-eastern Asia,-8.874217,125.727539,881827800.0,1042411500.0,1160389500.0,1395519600.0,1447307100.0,1594410900.0,1650618500.0,1615609700.0,1583876200.0,2047931700.0,1902156800.0,1959134743.83541,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,52.6573677062988,55.8999557495117,59.1623764038086,62.4426078796387,67.2815322875977,76.5,79.7789611816406,85.3814010620117,90.7986526489258,96.1233139038086,0.0
Tonga,TO,TON,Oceania,Polynesia,-21.178986,-175.198242,366840012.442325,414523388.461329,470714083.426751,450643615.180528,439878828.008608,437006227.162781,420540178.571429,460379144.989821,489235527.395387,512350059.421629,488829964.070819,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.6767196655273,92.1754531860352,92.8000030517578,94.9836654663086,95.7897033691406,100.0,97.0199966430664,98.361572265625,99.132568359375,98.4000015258789,100.0,0.0
Turkiye,TR,TUR,Asia,Western Asia,38.963745,35.243322,776992599946.766,838762755164.179,880556375779.51,957783020853.031,938952628604.067,864316670330.882,869692960365.551,858996263095.858,778471901665.148,761004425605.414,719954821683.31,815271751724.423,2.74,2.62,2.66,2.65,2.68,2.68,2.75,2.81,2.85,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Turkmenistan,TM,TKM,Asia,Central Asia,38.969719,59.556278,22583157894.7368,29233333333.3333,35164210526.3158,39197543859.6491,43524210526.3158,35799714285.7143,36169428571.4286,37926285714.2857,40765428571.4286,45231428571.4286,0.0,0.0,4.1,4.07,3.98,3.93,4.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,99.8774108886719,99.8958358764648,99.9120941162109,99.9351043701172,100.0,99.9898986816406,99.9962463378906,100.0,99.9000015258789,100.0,0.0
Tuvalu,TV,TUV,Oceania,Polynesia,-7.109535,177.64933,32104201.0640249,39195461.5781331,39345620.2112239,38617493.7246573,38759689.9224806,36811659.5297123,41629497.4724948,45217657.8786021,47818290.4961148,54223149.1136601,55054710.6186773,63100961.5384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.6302719116211,96.8707504272461,97.6717758178711,97.4076766967773,97.703857421875,98.0148849487305,97.3000030517578,98.8538360595703,99.0653839111328,99.6999969482422,99.6892318725586,0.0
Ukraine,UA,UKR,Europe,Eastern Europe,48.379433,31.16558,141209864408.488,169333048847.834,182592416468.527,190498811460.028,133503411375.739,91030959454.6961,93355993628.5042,112090530368.543,130891049796.879,153882982016.281,156617861448.576,200085537744.354,9.38,9.05,8.91,8.8,7.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,99.8674926757813,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
United Kingdom,GB,GBR,Europe,Northern Europe,55.378051,-3.435973,2491110093454.18,2674891473843.81,2719158341005.79,2803291406029.93,3087165602962.86,2956573778737.76,2722851958486.23,2699016715111.39,2900791442554.06,2878673912414.44,2756900214107.32,3186859739185.02,2.93,2.88,2.81,2.76,2.73,2.61,2.57,2.54,2.5,2.46,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Uzbekistan,UZ,UZB,Asia,Central Asia,41.377491,64.585262,49765676402.4495,60178909297.208,67517349212.0609,73180036692.3255,80845384375.1236,86196265191.6645,86138288615.1218,62081323299.0324,52633143808.1824,59907674027.4676,59894305352.8955,69238903106.1738,4.44,4.32,4.19,3.99,3.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9128875732422,99.9614410400391,99.9898223876953,99.9988708496094,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Vanuatu,VU,VUT,Oceania,Melanesia,-15.376706,166.959158,670713208.084552,770153304.153832,747839697.746593,758304466.245339,772315721.265827,730870581.672312,780889605.899977,880062103.045053,914736985.430944,936526267.622513,896827873.114925,983469256.849629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0999984741211,41.9353294372559,43.7895278930664,31.7000007629395,49.057445526123,52.2051010131836,57.8199996948242,62.7999992370605,61.7545127868652,64.5901870727539,67.3332672119141,0.0
Vietnam,VN,VNM,Asia,South-eastern Asia,14.058324,108.277199,147198853578.923,172595960457.831,195592471672.748,213710932339.105,233449971628.523,239257234710.757,257095955975.529,281353402175.236,308702086757.617,330391329475.734,343242570827.351,362637524070.969,2.91,0.0,2.5,3.18,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.4300003051758,99.0,97.8899993896484,98.5549621582031,99.1999969482422,99.8213043212891,99.1999969482422,100.0,100.0,99.4000015258789,100.0,0.0
